mart,rows,column,dtype,null_count,null_share,nunique,grain_key
mart_trip_profile,2399,session_booking_rate,float64,0,0.0,2253,False
mart_user_360,1198786,user_id,int64,0,0.0,1198786,True
mart_user_360,1198786,first_seen_date,object,0,0.0,724,False
mart_user_360,1198786,last_seen_date,object,0,0.0,724,False
mart_user_360,1198786,active_days,int64,0,0.0,174,False
mart_user_360,1198786,active_months,int64,0,0.0,24,False
mart_user_360,1198786,row_events,int64,0,0.0,478,False
mart_user_360,1198786,weighted_events,int64,0,0.0,578,False
mart_user_360,1198786,bookings,int64,0,0.0,101,False
mart_user_360,1198786,first_booking_date,object,384801,0.32099223714658,724,False
mart_user_360,1198786,last_booking_date,object,384801,0.32099223714658,724,False
mart_user_360,1198786,booking_value_proxy_total,int64,0,0.0,133,False
mart_user_360,1198786,avg_booking_value_proxy,float64,384801,0.32099223714658,679,False
mart_user_360,1198786,package_bookings,int64,0,0.0,59,False
mart_user_360,1198786,package_booking_share,float64,384801,0.32099223714658,679,False
mart_user_360,1198786,mobile_event_share,float64,0,0.0,11942,False
mart_user_360,1198786,distinct_destinations,int64,0,0.0,154,False
mart_user_360,1198786,distinct_hotel_markets,int64,0,0.0,118,False
mart_user_360,1198786,avg_valid_lead_days,float64,136,0.00011344810499955789,225974,False
mart_user_360,1198786,avg_valid_stay_nights,float64,149,0.0001242924091539274,58188,False
mart_user_360,1198786,avg_distance_filled,float64,174010,0.14515518199244903,1002179,False
mart_user_360,1198786,sessions,int64,0,0.0,240,False
mart_user_360,1198786,booking_sessions,int64,0,0.0,96,False
mart_user_360,1198786,days_since_last_booking,float64,384801,0.32099223714658,724,False
mart_user_360,1198786,booking_frequency,float64,0,0.0,1026,False
mart_user_360,1198786,session_frequency,float64,0,0.0,1922,False
mart_user_360,1198786,observation_end_date,object,0,0.0,1,False
